REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
RE1,FTERESLPG,1,2038,999999.0
RE1,FTERESLPG,1,2039,999999.0
RE1,FTERESLPG,1,2040,999999.0
RE1,FTERESLPG,1,2041,999999.0
RE1,FTERESLPG,1,2042,999999.0
RE1,FTERESLPG,1,2043,999999.0
RE1,FTERESLPG,1,2044,999999.0
RE1,FTERESLPG,1,2045,999999.0
RE1,FTERESLPG,1,2046,999999.0
RE1,FTERESLPG,1,2047,999999.0
RE1,FTERESLPG,1,2048,999999.0
RE1,FTERESLPG,1,2049,999999.0
RE1,FTERESLPG,1,2050,999999.0
RE1,FTETRADSL,1,2019,999999.0
RE1,FTETRADSL,1,2020,999999.0
RE1,FTETRADSL,1,2021,999999.0
RE1,FTETRADSL,1,2022,999999.0
RE1,FTETRADSL,1,2023,999999.0
RE1,FTETRADSL,1,2024,999999.0
RE1,FTETRADSL,1,2025,999999.0
RE1,FTETRADSL,1,2026,999999.0
RE1,FTETRADSL,1,2027,999999.0
RE1,FTETRADSL,1,2028,999999.0
RE1,FTETRADSL,1,2029,999999.0
RE1,FTETRADSL,1,2030,999999.0
RE1,FTETRADSL,1,2031,999999.0
RE1,FTETRADSL,1,2032,999999.0
RE1,FTETRADSL,1,2033,999999.0
RE1,FTETRADSL,1,2034,999999.0
RE1,FTETRADSL,1,2035,999999.0
RE1,FTETRADSL,1,2036,999999.0
RE1,FTETRADSL,1,2037,999999.0
RE1,FTETRADSL,1,2038,999999.0
RE1,FTETRADSL,1,2039,999999.0
RE1,FTETRADSL,1,2040,999999.0
RE1,FTETRADSL,1,2041,999999.0
RE1,FTETRADSL,1,2042,999999.0
RE1,FTETRADSL,1,2043,999999.0
RE1,FTETRADSL,1,2044,999999.0
RE1,FTETRADSL,1,2045,999999.0
RE1,FTETRADSL,1,2046,999999.0
RE1,FTETRADSL,1,2047,999999.0
RE1,FTETRADSL,1,2048,999999.0
RE1,FTETRADSL,1,2049,999999.0
RE1,FTETRADSL,1,2050,999999.0
RE1,FTETRAELC,1,2019,999999.0
RE1,FTETRAELC,1,2020,999999.0
RE1,FTETRAELC,1,2021,999999.0
RE1,FTETRAELC,1,2022,999999.0
RE1,FTETRAELC,1,2023,999999.0
RE1,FTETRAELC,1,2024,999999.0
RE1,FTETRAELC,1,2025,999999.0
RE1,FTETRAELC,1,2026,999999.0
RE1,FTETRAELC,1,2027,999999.0
RE1,FTETRAELC,1,2028,999999.0
RE1,FTETRAELC,1,2029,999999.0
RE1,FTETRAELC,1,2030,999999.0
RE1,FTETRAELC,1,2031,999999.0
RE1,FTETRAELC,1,2032,999999.0
RE1,FTETRAELC,1,2033,999999.0
RE1,FTETRAELC,1,2034,999999.0
RE1,FTETRAELC,1,2035,999999.0
RE1,FTETRAELC,1,2036,999999.0
RE1,FTETRAELC,1,2037,999999.0
RE1,FTETRAELC,1,2038,999999.0
RE1,FTETRAELC,1,2039,999999.0
RE1,FTETRAELC,1,2040,999999.0
RE1,FTETRAELC,1,2041,999999.0
RE1,FTETRAELC,1,2042,999999.0
RE1,FTETRAELC,1,2043,999999.0
RE1,FTETRAELC,1,2044,999999.0
RE1,FTETRAELC,1,2045,999999.0
RE1,FTETRAELC,1,2046,999999.0
RE1,FTETRAELC,1,2047,999999.0
RE1,FTETRAELC,1,2048,999999.0
RE1,FTETRAELC,1,2049,999999.0
RE1,FTETRAELC,1,2050,999999.0
RE1,FTETRAGSL,1,2019,999999.0
RE1,FTETRAGSL,1,2020,999999.0
RE1,FTETRAGSL,1,2021,999999.0
RE1,FTETRAGSL,1,2022,999999.0
RE1,FTETRAGSL,1,2023,999999.0
RE1,FTETRAGSL,1,2024,999999.0
RE1,FTETRAGSL,1,2025,999999.0
RE1,FTETRAGSL,1,2026,999999.0
RE1,FTETRAGSL,1,2027,999999.0
RE1,FTETRAGSL,1,2028,999999.0
RE1,FTETRAGSL,1,2029,999999.0
RE1,FTETRAGSL,1,2030,999999.0
RE1,FTETRAGSL,1,2031,999999.0
RE1,FTETRAGSL,1,2032,999999.0
RE1,FTETRAGSL,1,2033,999999.0
RE1,FTETRAGSL,1,2034,999999.0
RE1,FTETRAGSL,1,2035,999999.0
RE1,FTETRAGSL,1,2036,999999.0
RE1,FTETRAGSL,1,2037,999999.0
RE1,FTETRAGSL,1,2038,999999.0
RE1,FTETRAGSL,1,2039,999999.0
RE1,FTETRAGSL,1,2040,999999.0
RE1,FTETRAGSL,1,2041,999999.0
RE1,FTETRAGSL,1,2042,999999.0
RE1,FTETRAGSL,1,2043,999999.0
RE1,FTETRAGSL,1,2044,999999.0
RE1,FTETRAGSL,1,2045,999999.0
RE1,FTETRAGSL,1,2046,999999.0
RE1,FTETRAGSL,1,2047,999999.0
RE1,FTETRAGSL,1,2048,999999.0
RE1,FTETRAGSL,1,2049,999999.0
RE1,FTETRAGSL,1,2050,999999.0
RE1,FTETRAHFO,1,2019,999999.0
RE1,FTETRAHFO,1,2020,999999.0
RE1,FTETRAHFO,1,2021,999999.0
RE1,FTETRAHFO,1,2022,999999.0
RE1,FTETRAHFO,1,2023,999999.0
RE1,FTETRAHFO,1,2024,999999.0
RE1,FTETRAHFO,1,2025,999999.0
RE1,FTETRAHFO,1,2026,999999.0
RE1,FTETRAHFO,1,2027,999999.0
RE1,FTETRAHFO,1,2028,999999.0
RE1,FTETRAHFO,1,2029,999999.0
RE1,FTETRAHFO,1,2030,999999.0
RE1,FTETRAHFO,1,2031,999999.0
RE1,FTETRAHFO,1,2032,999999.0
RE1,FTETRAHFO,1,2033,999999.0
RE1,FTETRAHFO,1,2034,999999.0
RE1,FTETRAHFO,1,2035,999999.0
RE1,FTETRAHFO,1,2036,999999.0
RE1,FTETRAHFO,1,2037,999999.0
RE1,FTETRAHFO,1,2038,999999.0
RE1,FTETRAHFO,1,2039,999999.0
RE1,FTETRAHFO,1,2040,999999.0
RE1,FTETRAHFO,1,2041,999999.0
RE1,FTETRAHFO,1,2042,999999.0
RE1,FTETRAHFO,1,2043,999999.0
RE1,FTETRAHFO,1,2044,999999.0
RE1,FTETRAHFO,1,2045,999999.0
RE1,FTETRAHFO,1,2046,999999.0
RE1,FTETRAHFO,1,2047,999999.0
RE1,FTETRAHFO,1,2048,999999.0
RE1,FTETRAHFO,1,2049,999999.0
RE1,FTETRAHFO,1,2050,999999.0
RE1,FTETRAJFL,1,2019,999999.0
RE1,FTETRAJFL,1,2020,999999.0
RE1,FTETRAJFL,1,2021,999999.0
RE1,FTETRAJFL,1,2022,999999.0
RE1,FTETRAJFL,1,2023,999999.0
RE1,FTETRAJFL,1,2024,999999.0
RE1,FTETRAJFL,1,2025,999999.0
RE1,FTETRAJFL,1,2026,999999.0
RE1,FTETRAJFL,1,2027,999999.0
RE1,FTETRAJFL,1,2028,999999.0
RE1,FTETRAJFL,1,2029,999999.0
RE1,FTETRAJFL,1,2030,999999.0
RE1,FTETRAJFL,1,2031,999999.0
RE1,FTETRAJFL,1,2032,999999.0
RE1,FTETRAJFL,1,2033,999999.0
RE1,FTETRAJFL,1,2034,999999.0
RE1,FTETRAJFL,1,2035,999999.0
RE1,FTETRAJFL,1,2036,999999.0
RE1,FTETRAJFL,1,2037,999999.0
RE1,FTETRAJFL,1,2038,999999.0
RE1,FTETRAJFL,1,2039,999999.0
RE1,FTETRAJFL,1,2040,999999.0
RE1,FTETRAJFL,1,2041,999999.0
RE1,FTETRAJFL,1,2042,999999.0
RE1,FTETRAJFL,1,2043,999999.0
RE1,FTETRAJFL,1,2044,999999.0
RE1,FTETRAJFL,1,2045,999999.0
RE1,FTETRAJFL,1,2046,999999.0
RE1,FTETRAJFL,1,2047,999999.0
RE1,FTETRAJFL,1,2048,999999.0
RE1,FTETRAJFL,1,2049,999999.0
RE1,FTETRAJFL,1,2050,999999.0
RE1,ICMCOA001,1,2019,999999.0
RE1,ICMCOA001,1,2020,999999.0
RE1,ICMCOA001,1,2021,999999.0
RE1,ICMCOA001,1,2022,999999.0
RE1,ICMCOA001,1,2023,999999.0
RE1,ICMCOA001,1,2024,999999.0
RE1,ICMCOA001,1,2025,999999.0
RE1,ICMCOA001,1,2026,999999.0
RE1,ICMCOA001,1,2027,999999.0
RE1,ICMCOA001,1,2028,999999.0
RE1,ICMCOA001,1,2029,999999.0
RE1,ICMCOA001,1,2030,999999.0
RE1,ICMCOA001,1,2031,999999.0
RE1,ICMCOA001,1,2032,999999.0
RE1,ICMCOA001,1,2033,999999.0
RE1,ICMCOA001,1,2034,999999.0
RE1,ICMCOA001,1,2035,999999.0
RE1,ICMCOA001,1,2036,999999.0
RE1,ICMCOA001,1,2037,999999.0
RE1,ICMCOA001,1,2038,999999.0
RE1,ICMCOA001,1,2039,999999.0
RE1,ICMCOA001,1,2040,999999.0
RE1,ICMCOA001,1,2041,999999.0
RE1,ICMCOA001,1,2042,999999.0
RE1,ICMCOA001,1,2043,999999.0
RE1,ICMCOA001,1,2044,999999.0
RE1,ICMCOA001,1,2045,999999.0
RE1,ICMCOA001,1,2046,999999.0
RE1,ICMCOA001,1,2047,999999.0
RE1,ICMCOA001,1,2048,999999.0
RE1,ICMCOA001,1,2049,999999.0
RE1,ICMCOA001,1,2050,999999.0
RE1,ICMCOA005,1,2019,999999.0
RE1,ICMCOA005,1,2020,999999.0
RE1,ICMCOA005,1,2021,999999.0
RE1,ICMCOA005,1,2022,999999.0
RE1,ICMCOA005,1,2023,999999.0
RE1,ICMCOA005,1,2024,999999.0
RE1,ICMCOA005,1,2025,999999.0
RE1,ICMCOA005,1,2026,999999.0
RE1,ICMCOA005,1,2027,999999.0
RE1,ICMCOA005,1,2028,999999.0
RE1,ICMCOA005,1,2029,999999.0
RE1,ICMCOA005,1,2030,999999.0
RE1,ICMCOA005,1,2031,999999.0
RE1,ICMCOA005,1,2032,999999.0
RE1,ICMCOA005,1,2033,999999.0
RE1,ICMCOA005,1,2034,999999.0
RE1,ICMCOA005,1,2035,999999.0
RE1,ICMCOA005,1,2036,999999.0
RE1,ICMCOA005,1,2037,999999.0
RE1,ICMCOA005,1,2038,999999.0
RE1,ICMCOA005,1,2039,999999.0
RE1,ICMCOA005,1,2040,999999.0
RE1,ICMCOA005,1,2041,999999.0
RE1,ICMCOA005,1,2042,999999.0
RE1,ICMCOA005,1,2043,999999.0
RE1,ICMCOA005,1,2044,999999.0
RE1,ICMCOA005,1,2045,999999.0
RE1,ICMCOA005,1,2046,999999.0
RE1,ICMCOA005,1,2047,999999.0
RE1,ICMCOA005,1,2048,999999.0
RE1,ICMCOA005,1,2049,999999.0
RE1,ICMCOA005,1,2050,999999.0
RE1,IFPELC001,1,2019,999999.0
RE1,IFPELC001,1,2020,999999.0
RE1,IFPELC001,1,2021,999999.0
RE1,IFPELC001,1,2022,999999.0
RE1,IFPELC001,1,2023,999999.0
RE1,IFPELC001,1,2024,999999.0
RE1,IFPELC001,1,2025,999999.0
RE1,IFPELC001,1,2026,999999.0
RE1,IFPELC001,1,2027,999999.0
RE1,IFPELC001,1,2028,999999.0
RE1,IFPELC001,1,2029,999999.0
RE1,IFPELC001,1,2030,999999.0
RE1,IFPELC001,1,2031,999999.0
RE1,IFPELC001,1,2032,999999.0
RE1,IFPELC001,1,2033,999999.0
RE1,IFPELC001,1,2034,999999.0
RE1,IFPELC001,1,2035,999999.0
RE1,IFPELC001,1,2036,999999.0
RE1,IFPELC001,1,2037,999999.0
RE1,IFPELC001,1,2038,999999.0
RE1,IFPELC001,1,2039,999999.0
RE1,IFPELC001,1,2040,999999.0
RE1,IFPELC001,1,2041,999999.0
RE1,IFPELC001,1,2042,999999.0
RE1,IFPELC001,1,2043,999999.0
RE1,IFPELC001,1,2044,999999.0
RE1,IFPELC001,1,2045,999999.0
RE1,IFPELC001,1,2046,999999.0
RE1,IFPELC001,1,2047,999999.0
RE1,IFPELC001,1,2048,999999.0
RE1,IFPELC001,1,2049,999999.0
RE1,IFPELC001,1,2050,999999.0
RE1,IMPBIO,1,2019,999999.0
RE1,IMPBIO,1,2020,999999.0
RE1,IMPBIO,1,2021,999999.0
RE1,IMPBIO,1,2022,999999.0
RE1,IMPBIO,1,2023,999999.0
RE1,IMPBIO,1,2024,999999.0
RE1,IMPBIO,1,2025,999999.0
RE1,IMPBIO,1,2026,999999.0
RE1,IMPBIO,1,2027,999999.0
RE1,IMPBIO,1,2028,999999.0
RE1,IMPBIO,1,2029,999999.0
RE1,IMPBIO,1,2030,999999.0
RE1,IMPBIO,1,2031,999999.0
RE1,IMPBIO,1,2032,999999.0
RE1,IMPBIO,1,2033,999999.0
RE1,IMPBIO,1,2034,999999.0
RE1,IMPBIO,1,2035,999999.0
RE1,IMPBIO,1,2036,999999.0
RE1,IMPBIO,1,2037,999999.0
RE1,IMPBIO,1,2038,999999.0
RE1,IMPBIO,1,2039,999999.0
RE1,IMPBIO,1,2040,999999.0
RE1,IMPBIO,1,2041,999999.0
RE1,IMPBIO,1,2042,999999.0
RE1,IMPBIO,1,2043,999999.0
RE1,IMPBIO,1,2044,999999.0
RE1,IMPBIO,1,2045,999999.0
RE1,IMPBIO,1,2046,999999.0
RE1,IMPBIO,1,2047,999999.0
RE1,IMPBIO,1,2048,999999.0
RE1,IMPBIO,1,2049,999999.0
RE1,IMPBIO,1,2050,999999.0
RE1,IMPCOA,1,2019,999999.0
RE1,IMPCOA,1,2020,999999.0
RE1,IMPCOA,1,2021,999999.0
RE1,IMPCOA,1,2022,999999.0
RE1,IMPCOA,1,2023,999999.0
RE1,IMPCOA,1,2024,999999.0
RE1,IMPCOA,1,2025,999999.0
RE1,IMPCOA,1,2026,999999.0
RE1,IMPCOA,1,2027,999999.0
RE1,IMPCOA,1,2028,999999.0
RE1,IMPCOA,1,2029,999999.0
RE1,IMPCOA,1,2030,999999.0
RE1,IMPCOA,1,2031,999999.0
RE1,IMPCOA,1,2032,999999.0
RE1,IMPCOA,1,2033,999999.0
RE1,IMPCOA,1,2034,999999.0
RE1,IMPCOA,1,2035,999999.0
RE1,IMPCOA,1,2036,999999.0
RE1,IMPCOA,1,2037,999999.0
RE1,IMPCOA,1,2038,999999.0
RE1,IMPCOA,1,2039,999999.0
RE1,IMPCOA,1,2040,999999.0
RE1,IMPCOA,1,2041,999999.0
RE1,IMPCOA,1,2042,999999.0
RE1,IMPCOA,1,2043,999999.0
RE1,IMPCOA,1,2044,999999.0
RE1,IMPCOA,1,2045,999999.0
RE1,IMPCOA,1,2046,999999.0
RE1,IMPCOA,1,2047,999999.0
RE1,IMPCOA,1,2048,999999.0
RE1,IMPCOA,1,2049,999999.0
RE1,IMPCOA,1,2050,999999.0
RE1,IMPDSL,1,2019,999999.0
RE1,IMPDSL,1,2020,999999.0
RE1,IMPDSL,1,2021,999999.0
RE1,IMPDSL,1,2022,999999.0
RE1,IMPDSL,1,2023,999999.0
RE1,IMPDSL,1,2024,999999.0
RE1,IMPDSL,1,2025,999999.0
RE1,IMPDSL,1,2026,999999.0
RE1,IMPDSL,1,2027,999999.0
RE1,IMPDSL,1,2028,999999.0
RE1,IMPDSL,1,2029,999999.0
RE1,IMPDSL,1,2030,999999.0
RE1,IMPDSL,1,2031,999999.0
RE1,IMPDSL,1,2032,999999.0
RE1,IMPDSL,1,2033,999999.0
RE1,IMPDSL,1,2034,999999.0
RE1,IMPDSL,1,2035,999999.0
RE1,IMPDSL,1,2036,999999.0
RE1,IMPDSL,1,2037,999999.0
RE1,IMPDSL,1,2038,999999.0
RE1,IMPDSL,1,2039,999999.0
RE1,IMPDSL,1,2040,999999.0
RE1,IMPDSL,1,2041,999999.0
RE1,IMPDSL,1,2042,999999.0
RE1,IMPDSL,1,2043,999999.0
RE1,IMPDSL,1,2044,999999.0
RE1,IMPDSL,1,2045,999999.0
RE1,IMPDSL,1,2046,999999.0
RE1,IMPDSL,1,2047,999999.0
RE1,IMPDSL,1,2048,999999.0
RE1,IMPDSL,1,2049,999999.0
RE1,IMPDSL,1,2050,999999.0
RE1,IMPELC001,1,2019,999999.0
RE1,IMPELC001,1,2020,999999.0
RE1,IMPELC001,1,2021,999999.0
RE1,IMPELC001,1,2022,999999.0
RE1,IMPELC001,1,2023,999999.0
RE1,IMPELC001,1,2024,999999.0
RE1,IMPELC001,1,2025,999999.0
RE1,IMPELC001,1,2026,999999.0
RE1,IMPELC001,1,2027,999999.0
RE1,IMPELC001,1,2028,999999.0
RE1,IMPELC001,1,2029,999999.0
RE1,IMPELC001,1,2030,999999.0
RE1,IMPELC001,1,2031,999999.0
RE1,IMPELC001,1,2032,999999.0
RE1,IMPELC001,1,2033,999999.0
RE1,IMPELC001,1,2034,999999.0
RE1,IMPELC001,1,2035,999999.0
RE1,IMPELC001,1,2036,999999.0
RE1,IMPELC001,1,2037,999999.0
RE1,IMPELC001,1,2038,999999.0
RE1,IMPELC001,1,2039,999999.0
RE1,IMPELC001,1,2040,999999.0
RE1,IMPELC001,1,2041,999999.0
RE1,IMPELC001,1,2042,999999.0
RE1,IMPELC001,1,2043,999999.0
RE1,IMPELC001,1,2044,999999.0
RE1,IMPELC001,1,2045,999999.0
RE1,IMPELC001,1,2046,999999.0
RE1,IMPELC001,1,2047,999999.0
RE1,IMPELC001,1,2048,999999.0
RE1,IMPELC001,1,2049,999999.0
RE1,IMPELC001,1,2050,999999.0
RE1,IMPELC002,1,2019,999999.0
RE1,IMPELC002,1,2020,999999.0
RE1,IMPELC002,1,2021,999999.0
RE1,IMPELC002,1,2022,999999.0
RE1,IMPELC002,1,2023,999999.0
RE1,IMPELC002,1,2024,999999.0
RE1,IMPELC002,1,2025,999999.0
RE1,IMPELC002,1,2026,999999.0
RE1,IMPELC002,1,2027,999999.0
RE1,IMPELC002,1,2028,999999.0
RE1,IMPELC002,1,2029,999999.0
RE1,IMPELC002,1,2030,999999.0
RE1,IMPELC002,1,2031,999999.0
RE1,IMPELC002,1,2032,999999.0
RE1,IMPELC002,1,2033,999999.0
RE1,IMPELC002,1,2034,999999.0
RE1,IMPELC002,1,2035,999999.0
RE1,IMPELC002,1,2036,999999.0
RE1,IMPELC002,1,2037,999999.0
RE1,IMPELC002,1,2038,999999.0
RE1,IMPELC002,1,2039,999999.0
RE1,IMPELC002,1,2040,999999.0
RE1,IMPELC002,1,2041,999999.0
RE1,IMPELC002,1,2042,999999.0
RE1,IMPELC002,1,2043,999999.0
RE1,IMPELC002,1,2044,999999.0
RE1,IMPELC002,1,2045,999999.0
RE1,IMPELC002,1,2046,999999.0
RE1,IMPELC002,1,2047,999999.0
RE1,IMPELC002,1,2048,999999.0
RE1,IMPELC002,1,2049,999999.0
RE1,IMPELC002,1,2050,999999.0
RE1,IMPGSL,1,2019,999999.0
RE1,IMPGSL,1,2020,999999.0
RE1,IMPGSL,1,2021,999999.0
RE1,IMPGSL,1,2022,999999.0
RE1,IMPGSL,1,2023,999999.0
RE1,IMPGSL,1,2024,999999.0
RE1,IMPGSL,1,2025,999999.0
RE1,IMPGSL,1,2026,999999.0
RE1,IMPGSL,1,2027,999999.0
RE1,IMPGSL,1,2028,999999.0
RE1,IMPGSL,1,2029,999999.0
RE1,IMPGSL,1,2030,999999.0
RE1,IMPGSL,1,2031,999999.0
RE1,IMPGSL,1,2032,999999.0
RE1,IMPGSL,1,2033,999999.0
RE1,IMPGSL,1,2034,999999.0
RE1,IMPGSL,1,2035,999999.0
RE1,IMPGSL,1,2036,999999.0
RE1,IMPGSL,1,2037,999999.0
RE1,IMPGSL,1,2038,999999.0
RE1,IMPGSL,1,2039,999999.0
RE1,IMPGSL,1,2040,999999.0
RE1,IMPGSL,1,2041,999999.0
RE1,IMPGSL,1,2042,999999.0
RE1,IMPGSL,1,2043,999999.0
RE1,IMPGSL,1,2044,999999.0
RE1,IMPGSL,1,2045,999999.0
RE1,IMPGSL,1,2046,999999.0
RE1,IMPGSL,1,2047,999999.0
RE1,IMPGSL,1,2048,999999.0
RE1,IMPGSL,1,2049,999999.0
RE1,IMPGSL,1,2050,999999.0
RE1,IMPHFOMOM,1,2019,999999.0
RE1,IMPHFOMOM,1,2020,999999.0
RE1,IMPHFOMOM,1,2021,999999.0
RE1,IMPHFOMOM,1,2022,999999.0
RE1,IMPHFOMOM,1,2023,999999.0
RE1,IMPHFOMOM,1,2024,999999.0
RE1,IMPHFOMOM,1,2025,999999.0
RE1,IMPHFOMOM,1,2026,999999.0
RE1,IMPHFOMOM,1,2027,999999.0
RE1,IMPHFOMOM,1,2028,999999.0
RE1,IMPHFOMOM,1,2029,999999.0
RE1,IMPHFOMOM,1,2030,999999.0
RE1,IMPHFOMOM,1,2031,999999.0
RE1,IMPHFOMOM,1,2032,999999.0
RE1,IMPHFOMOM,1,2033,999999.0
RE1,IMPHFOMOM,1,2034,999999.0
RE1,IMPHFOMOM,1,2035,999999.0
RE1,IMPHFOMOM,1,2036,999999.0
RE1,IMPHFOMOM,1,2037,999999.0
RE1,IMPHFOMOM,1,2038,999999.0
RE1,IMPHFOMOM,1,2039,999999.0
RE1,IMPHFOMOM,1,2040,999999.0
RE1,IMPHFOMOM,1,2041,999999.0
RE1,IMPHFOMOM,1,2042,999999.0
RE1,IMPHFOMOM,1,2043,999999.0
RE1,IMPHFOMOM,1,2044,999999.0
RE1,IMPHFOMOM,1,2045,999999.0
RE1,IMPHFOMOM,1,2046,999999.0
RE1,IMPHFOMOM,1,2047,999999.0
RE1,IMPHFOMOM,1,2048,999999.0
RE1,IMPHFOMOM,1,2049,999999.0
RE1,IMPHFOMOM,1,2050,999999.0
RE1,IMPHFONAI,1,2019,999999.0
RE1,IMPHFONAI,1,2020,999999.0
RE1,IMPHFONAI,1,2021,999999.0
RE1,IMPHFONAI,1,2022,999999.0
RE1,IMPHFONAI,1,2023,999999.0
RE1,IMPHFONAI,1,2024,999999.0
RE1,IMPHFONAI,1,2025,999999.0
RE1,IMPHFONAI,1,2026,999999.0
RE1,IMPHFONAI,1,2027,999999.0
RE1,IMPHFONAI,1,2028,999999.0
RE1,IMPHFONAI,1,2029,999999.0
RE1,IMPHFONAI,1,2030,999999.0
RE1,IMPHFONAI,1,2031,999999.0
RE1,IMPHFONAI,1,2032,999999.0
RE1,IMPHFONAI,1,2033,999999.0
RE1,IMPHFONAI,1,2034,999999.0
RE1,IMPHFONAI,1,2035,999999.0
RE1,IMPHFONAI,1,2036,999999.0
RE1,IMPHFONAI,1,2037,999999.0
RE1,IMPHFONAI,1,2038,999999.0
RE1,IMPHFONAI,1,2039,999999.0
RE1,IMPHFONAI,1,2040,999999.0
RE1,IMPHFONAI,1,2041,999999.0
RE1,IMPHFONAI,1,2042,999999.0
RE1,IMPHFONAI,1,2043,999999.0
RE1,IMPHFONAI,1,2044,999999.0
RE1,IMPHFONAI,1,2045,999999.0
RE1,IMPHFONAI,1,2046,999999.0
RE1,IMPHFONAI,1,2047,999999.0
RE1,IMPHFONAI,1,2048,999999.0
RE1,IMPHFONAI,1,2049,999999.0
RE1,IMPHFONAI,1,2050,999999.0
RE1,IMPJFL,1,2019,999999.0
RE1,IMPJFL,1,2020,999999.0
RE1,IMPJFL,1,2021,999999.0
RE1,IMPJFL,1,2022,999999.0
RE1,IMPJFL,1,2023,999999.0
RE1,IMPJFL,1,2024,999999.0
RE1,IMPJFL,1,2025,999999.0
RE1,IMPJFL,1,2026,999999.0
RE1,IMPJFL,1,2027,999999.0
RE1,IMPJFL,1,2028,999999.0
RE1,IMPJFL,1,2029,999999.0
RE1,IMPJFL,1,2030,999999.0
RE1,IMPJFL,1,2031,999999.0
RE1,IMPJFL,1,2032,999999.0
RE1,IMPJFL,1,2033,999999.0
RE1,IMPJFL,1,2034,999999.0
RE1,IMPJFL,1,2035,999999.0
RE1,IMPJFL,1,2036,999999.0
RE1,IMPJFL,1,2037,999999.0
RE1,IMPJFL,1,2038,999999.0
RE1,IMPJFL,1,2039,999999.0
RE1,IMPJFL,1,2040,999999.0
RE1,IMPJFL,1,2041,999999.0
RE1,IMPJFL,1,2042,999999.0
RE1,IMPJFL,1,2043,999999.0
RE1,IMPJFL,1,2044,999999.0
RE1,IMPJFL,1,2045,999999.0
RE1,IMPJFL,1,2046,999999.0
RE1,IMPJFL,1,2047,999999.0
RE1,IMPJFL,1,2048,999999.0
RE1,IMPJFL,1,2049,999999.0
RE1,IMPJFL,1,2050,999999.0
RE1,IMPKER,1,2019,999999.0
RE1,IMPKER,1,2020,999999.0
RE1,IMPKER,1,2021,999999.0
RE1,IMPKER,1,2022,999999.0
RE1,IMPKER,1,2023,999999.0
RE1,IMPKER,1,2024,999999.0
RE1,IMPKER,1,2025,999999.0
RE1,IMPKER,1,2026,999999.0
RE1,IMPKER,1,2027,999999.0
RE1,IMPKER,1,2028,999999.0
RE1,IMPKER,1,2029,999999.0
RE1,IMPKER,1,2030,999999.0
RE1,IMPKER,1,2031,999999.0
RE1,IMPKER,1,2032,999999.0
RE1,IMPKER,1,2033,999999.0
RE1,IMPKER,1,2034,999999.0
RE1,IMPKER,1,2035,999999.0
RE1,IMPKER,1,2036,999999.0
RE1,IMPKER,1,2037,999999.0
RE1,IMPKER,1,2038,999999.0
RE1,IMPKER,1,2039,999999.0
RE1,IMPKER,1,2040,999999.0
RE1,IMPKER,1,2041,999999.0
RE1,IMPKER,1,2042,999999.0
RE1,IMPKER,1,2043,999999.0
RE1,IMPKER,1,2044,999999.0
RE1,IMPKER,1,2045,999999.0
RE1,IMPKER,1,2046,999999.0
RE1,IMPKER,1,2047,999999.0
RE1,IMPKER,1,2048,999999.0
RE1,IMPKER,1,2049,999999.0
RE1,IMPKER,1,2050,999999.0
RE1,IMPLFOELD,1,2019,999999.0
RE1,IMPLFOELD,1,2020,999999.0
RE1,IMPLFOELD,1,2021,999999.0
RE1,IMPLFOELD,1,2022,999999.0
RE1,IMPLFOELD,1,2023,999999.0
RE1,IMPLFOELD,1,2024,999999.0
RE1,IMPLFOELD,1,2025,999999.0
RE1,IMPLFOELD,1,2026,999999.0
RE1,IMPLFOELD,1,2027,999999.0
RE1,IMPLFOELD,1,2028,999999.0
RE1,IMPLFOELD,1,2029,999999.0
RE1,IMPLFOELD,1,2030,999999.0
RE1,IMPLFOELD,1,2031,999999.0
RE1,IMPLFOELD,1,2032,999999.0
RE1,IMPLFOELD,1,2033,999999.0
RE1,IMPLFOELD,1,2034,999999.0
RE1,IMPLFOELD,1,2035,999999.0
RE1,IMPLFOELD,1,2036,999999.0
RE1,IMPLFOELD,1,2037,999999.0
RE1,IMPLFOELD,1,2038,999999.0
RE1,IMPLFOELD,1,2039,999999.0
RE1,IMPLFOELD,1,2040,999999.0
RE1,IMPLFOELD,1,2041,999999.0
RE1,IMPLFOELD,1,2042,999999.0
RE1,IMPLFOELD,1,2043,999999.0
RE1,IMPLFOELD,1,2044,999999.0
RE1,IMPLFOELD,1,2045,999999.0
RE1,IMPLFOELD,1,2046,999999.0
RE1,IMPLFOELD,1,2047,999999.0
RE1,IMPLFOELD,1,2048,999999.0
RE1,IMPLFOELD,1,2049,999999.0
RE1,IMPLFOELD,1,2050,999999.0
RE1,IMPLPG,1,2019,999999.0
RE1,IMPLPG,1,2020,999999.0
RE1,IMPLPG,1,2021,999999.0
RE1,IMPLPG,1,2022,999999.0
RE1,IMPLPG,1,2023,999999.0
RE1,IMPLPG,1,2024,999999.0
RE1,IMPLPG,1,2025,999999.0
RE1,IMPLPG,1,2026,999999.0
RE1,IMPLPG,1,2027,999999.0
RE1,IMPLPG,1,2028,999999.0
RE1,IMPLPG,1,2029,999999.0
RE1,IMPLPG,1,2030,999999.0
RE1,IMPLPG,1,2031,999999.0
RE1,IMPLPG,1,2032,999999.0
RE1,IMPLPG,1,2033,999999.0
RE1,IMPLPG,1,2034,999999.0
RE1,IMPLPG,1,2035,999999.0
RE1,IMPLPG,1,2036,999999.0
